date,station_number,rainfall,rain_period,rain_quality,max_temp,max_temp_days,min_temp,min_temp_days
25/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
25/03/2010 0:00,088051,NA,NA,Y,28,1,NA,NA
25/03/2010 0:00,088051,NA,NA,Y,NA,NA,8.6,1
26/03/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
26/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
26/03/2010 0:00,088051,NA,NA,Y,30.6,1,NA,NA
26/03/2010 0:00,088051,NA,NA,Y,NA,NA,10.4,1
27/03/2010 0:00,088037,0.6,1,Y,NA,NA,NA,NA
27/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
27/03/2010 0:00,088051,NA,NA,Y,28.1,1,NA,NA
27/03/2010 0:00,088051,NA,NA,Y,NA,NA,14.4,1
28/03/2010 0:00,088037,0.2,1,Y,NA,NA,NA,NA
28/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
28/03/2010 0:00,088051,NA,NA,Y,24.8,1,NA,NA
28/03/2010 0:00,088051,NA,NA,Y,NA,NA,17,1
29/03/2010 0:00,088037,12.2,1,Y,NA,NA,NA,NA
29/03/2010 0:00,088061,13.4,1,Y,NA,NA,NA,NA
29/03/2010 0:00,088051,NA,NA,Y,24.6,1,NA,NA
29/03/2010 0:00,088051,NA,NA,Y,NA,NA,16.2,1
30/03/2010 0:00,088037,0.2,1,Y,NA,NA,NA,NA
30/03/2010 0:00,088061,2,1,Y,NA,NA,NA,NA
30/03/2010 0:00,088051,NA,NA,Y,21.1,1,NA,NA
30/03/2010 0:00,088051,NA,NA,Y,NA,NA,11.9,1
31/03/2010 0:00,088037,0.2,1,Y,NA,NA,NA,NA
31/03/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
31/03/2010 0:00,088051,NA,NA,Y,23.9,1,NA,NA
31/03/2010 0:00,088051,NA,NA,Y,NA,NA,10.9,1
1/04/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
1/04/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
1/04/2010 0:00,088051,NA,NA,Y,23.6,1,NA,NA
1/04/2010 0:00,088051,NA,NA,Y,NA,NA,8.4,1
2/04/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
2/04/2010 0:00,088061,0.6,1,Y,NA,NA,NA,NA
2/04/2010 0:00,088051,NA,NA,Y,21.4,1,NA,NA
2/04/2010 0:00,088051,NA,NA,Y,NA,NA,11.4,1
3/04/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
3/04/2010 0:00,088061,0,NA,Y,NA,NA,NA,NA
3/04/2010 0:00,088051,NA,NA,Y,22.4,1,NA,NA
3/04/2010 0:00,088051,NA,NA,Y,NA,NA,9.9,1
4/04/2010 0:00,088037,0,NA,Y,NA,NA,NA,NA
